,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chr16_60078535_60084578_3454_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_7up_7up_phylo____chr16_60078535-60078985____1-450,,10,,,,,,,17,,19,2,,4,,6,,,
chrX_125388838_125394560_3232_ZNF534_ZNF90_KAP1_k4me3_TSSflanking_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_7up_wanghigh_C_7up_phylo_-__chrX_125394110-125394560_-__1-450,1,10,,12,13,,,,17,,19,2,3,4,,6,,,9
chr13_56040251-56046275_4525_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_OCT4_FOXA1_7up_wanghigh_GRO2of7__chr13_56040251-56040701____1-450,,10,11,12,,14,,,17,18,19,2,,,,,,,9
chr4_79553970_79559709_4752_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_SOX2_FOXA1_7up_wanghigh_GRO3of7_C_7up_phylo_-__chr4_79559260-79559709_-__1-449,,10,,,,,,16,,18,19,2,,4,,6,,,9
chr10_53492723_53504727_3435_ZNF534_KAP1_k27ac_weakenh_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_7up_GRO4of7_C_7up_phylo_-__chr10_53504278-53504727_-__1-449,,10,,12,13,,,16,17,,19,2,3,4,5,6,,,
chr8_71674937_71680660_3428_transcribed_ZNF534_ZNF90_k4me3_TSS_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo_____chr8_71674937-71675387____1-450,1,10,,,13,,15,16,,,19,2,3,4,,6,,8,9
chr2_5000769_5006730_3382_ZNF534_EncodeRepressed_KLF4_NANOG_TCF4_7up_7up_phylo____chr2_5000769-5001216____1-447,,10,,,,,15,,,,19,2,,4,,6,,,
chrX_122222004_122227785_5005_transcribed_ZNF534_k4me3_TSSflanking_FOXP1_KLF4_NANOG_44108_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chrX_122222004-122222454____1-450,,10,,,,,15,,17,18,19,2,,4,,6,,8,9
chr1_221973078_221978957_3397_ZNF534_k4me3_weakenh_FOXP1_KLF4_MED1_NANOG_44108_SOX2_TCF4_7up_wanghigh_C_7up_phylo_-__chr1_221978509-221978957_-__1-447,,10,,,,,15,16,17,,19,2,3,4,,6,,,9
chrX_112530380_112536357_3408_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_44108_SOX2_7up_7up_phylo____chrX_112530380-112530831____1-450,1,10,,12,,,,16,,,19,2,,4,,6,,,
chr1_72987801-72993602_3646_ZNF534_KAP1_KLF4_NANOG_OCT4_TCF4_7up_GRO2of7__chr1_72993156-72993602_-__1-446,,10,11,12,,14,15,,,,19,2,,4,,6,,,
chr3_191666260_191672378_3422_ZNF534_KAP1_k27ac_EncodeTxn_FOXP1_KLF4_NANOG_44108_FOXA1_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr3_191671928-191672378_-__1-450,,10,,12,,,,,17,18,19,2,,4,,6,,,
chrX_98524246_98530070_4863_ZNF534_ZNF90_KAP1_EncodeTxn_FOXP1_KLF4_NANOG_TCF4_FOXA1_7up_C_7up_phylo_-__chrX_98529620-98530070_-__1-450,1,10,,12,,,15,,17,18,19,2,,,,6,,,
chr12_11462169_11468020_3219_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_TCF4_FOXA1_7up_C_7up_phylo_-__chr12_11467571-11468020_-__1-449,1,10,11,12,,,15,,,18,19,2,,4,,6,,,
chr9_115839178_115844929_3491_ZNF534_KAP1_k4me3_EncodeRepressed_KLF4_NANOG_44108_7up_GRO4of7_C_7up_phylo_-__chr9_115844479-115844929_-__1-450,,10,,12,,,,,,,19,2,,4,,6,,,
chr12_103222116_103222567_EncodeTxn_SOLO_KLF4_NANOG_SOX2_7up_C_7up_phylo_-__chr12_103222116-103222567_-__1-450,,,,,,,,16,,,19,2,,4,5,,,,
chr1_72980446_72985490_3299_ZNF534_KAP1_k4me3_KLF4_NANOG_44108_FOXA1_7up_GRO4of7_C_7up_phylo_-__chr1_72985041-72985490_-__1-449,,10,,12,,,,,,18,19,2,,4,,6,,,
chr5_153449687_153455430_3384_ZNF534_EncodeTxn_FOXP1_KLF4_NANOG_7up_C_7up_phylo_-__chr5_153454980-153455430_-__1-450,,10,,,,,,,17,,19,2,,4,,6,,,
chr4_119993664_119999666_3339_transcribed_ZNF534_k4me3_TSS_KLF4_NANOG_44108_SOX2_7up_wanghigh_GRO1of7_7up_phylo____chr4_119993664-119994116____1-450,,10,,,,,,16,,,19,2,,4,,6,,8,9
chr7_48146274_48146724_h3k27ac_EncodeRepressed_SOLO_KLF4_NANOG_7up_C_7up_phylo_-__chr7_48146274-48146724_-__1-450,,,,,,,,,,,19,2,,4,,,,,
chr3_190920164_190925860_3402_ZNF534_KAP1_EncodeRepressed_KLF4_NANOG_FOXA1_7up_7up_phylo____chr3_190920164-190920610____1-446,,10,11,12,,,,,,18,19,2,,4,,6,,,
chr10_95231193_95231643_h3k27ac_enh_SOLO_KLF4_MED1_NANOG_44108_SMAD11_TCF4_7up_7up_phylo____chr10_95231193-95231643____1-450,,,,,13,,15,,,,19,2,3,4,,6,,,
chr3_187175504-187181262_5079_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_OCT4_SOX2_TCF4_FOXA1_7up_wanghigh_chimeric_GRO2of7__chr3_187180813-187181262_-__1-449,,10,,,,14,15,16,17,18,19,2,,4,5,6,7,,9
chr5_76357256-76363071_3493_ZNF534_k4me3_EncodeRepressed_FOXP1_KLF4_NANOG_OCT4_7up_GRO2of7__chr5_76357256-76357705____1-449,,10,,,,14,,,17,,19,2,,4,,6,,,
chr2_77088247_77094030_3397_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_chimeric_GRO1of7_7up_phylo_____chr2_77088247-77088674____1-427,,10,,,13,,15,16,17,,19,2,,4,,6,7,8,9
chr6_125701848_125707763_3559_ZNF534_k4me3_enh_KLF4_NANOG_44108_SMAD11_SOX2_FOXA1_7up_wanghigh_C_7up_phylo_-__chr6_125707314-125707763_-__1-447,,10,,,13,,,16,,18,19,2,,4,,6,,,9
chr10_6797083_6802953_3387_ZNF534_KAP1_k4me3_TSS_FOXP1_KLF4_NANOG_44108_TCF4_FOXA1_7up_C_7up_phylo_-__chr10_6802503-6802953_-__1-450,,10,,12,,,15,,17,18,19,2,,4,,6,,,
chr4_8482399_8488709_3142_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_7up_wangmod_GRO1of7_C_7up_phylo_-__chr4_8488262-8488709_-__1-447,1,10,11,12,,,,,,,19,2,,,,,,8,
chr3_112418412-112423365_5101_ZNF534_ZNF90_KAP1_k4me3_enh_KLF4_MED1_NANOG_OCT4_SMAD11_TCF4_7up_wanghigh_GRO2of7__chr3_112422914-112423365_-__1-450,1,10,,12,13,14,15,,,,19,2,3,4,5,6,,,9
chr2_199179365_199185671_4843_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_KLF4_NANOG_7up_7up_phylo____chr2_199179365-199179814____1-449,1,10,11,12,,,,,,,19,2,,4,,,,,
chr2_209078020_209084376_4940_ZNF534_EncodeTxn_FOXP1_NANOG_FOXA1_7up_GRO3of7_7up_phylo____chr2_209078020-209078469____1-449,,10,,,,,,,17,18,,2,,4,,,,,
chr5_5515523_5521164_4804_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_SOX2_TCF4_7up_wangmod_7up_phylo____chr5_5515523-5515972____1-449,1,10,11,12,,,15,16,,,19,2,,4,,6,,,
chr5_104063635_104070481_1980_ZNF534_k4me3_KLF4_NANOG_44108_7up_GRO3of7_C_7up_phylo_-__chr5_104070031-104070481_-__1-450,,10,,,,,,,,,19,2,,4,,6,,,
chr13_69197067_69197517_EncodeRepressed_SOLO_FOXP1_KLF4_NANOG_7up_C_7up_phylo_-__chr13_69197067-69197517_-__1-450,,,,,,,,,17,,19,2,,4,,6,,,
chr2_206806840-206812627_5033_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_OCT4_SOX2_TCF4_7up_wanghigh_GRO2of7__chr2_206812177-206812627_-__1-450,,10,,,,14,15,16,17,,19,2,,4,,6,,,9
chr6_114422439-114428297_2444_ZNF534_k4me3_TSSflanking_FOXP1_KLF4_NANOG_OCT4_SOX2_FOXA1_7up_wanghigh_GRO2of7__chr6_114427847-114428297_-__1-450,,10,,,,14,,16,17,18,19,2,,4,,6,,,9
chr22_24691086_24691536_h3k27ac_enh_SOLO_KLF4_NANOG_SOX2_TCF4_7up_C_7up_phylo_-__chr22_24691086-24691536_-__1-450,,,,,,,15,16,,,19,2,,4,,,,,
chr3_149196809_149197259_h3k27ac_TSS_SOLO_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_7up_phylo____chr3_149196809-149197259____1-450,,,,,13,,15,16,17,,19,2,3,4,5,,,,
chr14_41515871-41521881_3430_ZNF534_KAP1_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_7up_GRO2of7__chr14_41515871-41516320____1-449,,10,11,12,,14,,,17,,19,2,,4,5,6,,,
chr12_79539848_79545625_4837_ZNF534_ZNF90_KAP1_k4me3_FOXP1_KLF4_NANOG_44108_7up_wanghigh_GRO1of7_7up_phylo____chr12_79539848-79540298____1-450,1,10,11,12,,,,,17,,19,2,,4,,6,,8,9
chr13_41159944_41160425_h3k27ac_weakenh_SOLO_FOXP1_KLF4_NANOG_7up_7up_phylo____chr13_41159944-41160425____1-419,,,,,,,,,17,,19,2,,4,5,6,,,
chr9_97214494_97220014_2573_transcribed_ZNF534_k4me3_TSS_KLF4_MED1_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr9_97214494-97214965____1-409,,10,,,,,15,16,,18,19,2,3,4,5,6,,8,9
chr12_72816112_72816590_EncodeTxn_SOLO_FOXP1_KLF4_NANOG_44108_7up_C_7up_phylo_-__chr12_72816112-72816590_-__1-447,,,,,,,,,17,,19,2,,4,5,6,,,
chr13_51169866_51175006_3539_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo_____chr13_51169866-51170314____1-417,,10,,,13,,15,16,17,,19,2,3,4,,6,,8,9
chr1_55022708_55028369_3386_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_KLF4_NANOG_FOXA1_7up_chimeric_7up_phylo____chr1_55022708-55023157____1-418,1,10,,12,,,,,,18,19,2,,4,5,6,7,,
chrX_114466672_114472531_3446_transcribed_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo_____chrX_114466672-114467121____1-418,,10,,,13,,15,16,17,,19,2,3,4,5,6,,8,9
chr12_10332976_10338643_3275_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_SOX2_7up_C_7up_phylo_-__chr12_10338193-10338643_-__1-448,,10,,,,,,16,17,,19,2,,4,,6,,,
chr8_84290302_84290753_h3k27ac_enh_SOLO_KLF4_NANOG_44108_SOX2_TCF4_7up_C_7up_phylo_-__chr8_84290302-84290753_-__1-448,,,,,,,15,16,,,19,2,,4,,6,,,
chr13_36316325-36322191_3430_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_KLF4_NANOG_OCT4_TCF4_7up_wanghigh_chimeric_GRO2of7__chr13_36316325-36316770____1-445,1,10,11,12,,14,15,,,,19,2,,4,,6,7,,9
chr9_93347588_93353344_4824_transcribed_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo_____chr9_93347588-93348038____1-449,,10,,,13,,15,16,17,18,19,2,,4,,6,,8,9
chr1_209448805-209454002_3258_ZNF534_k4me3_EncodeRepressed_FOXP1_KLF4_NANOG_OCT4_SOX2_TCF4_7up_GRO2of7__chr1_209448805-209449256____1-450,,10,,,,14,15,16,17,,19,2,,4,,6,,,
chr20_40269054_40274761_3256_transcribed_ZNF534_k4me3_TSS_KLF4_NANOG_44108_7up_wanghigh_GRO1of7_7up_phylo____chr20_40269054-40269503____1-449,,10,,,,,,,,,19,2,,,,,,8,9
chrX_95092677_95093127_EncodeRepressed_SOLO_KLF4_NANOG_44108_7up_7up_phylo____chrX_95092677-95093127____1-450,,,,,,,,,,,19,2,,4,,,,,
chr11_96587635-96593674_3349_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_NANOG_OCT4_SMAD11_7up_GRO2of7__chr11_96587635-96588085____1-450,,10,11,12,13,14,,,,,19,2,,4,,6,,,
chr5_126839337_126845705_3467_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_7up_wanghigh_GRO1of7_C_7up_phylo_-__chr5_126845255-126845705_-__1-450,,10,,,,,15,16,17,,19,2,,4,,6,,8,9
chrX_94698820_94704626_4948_ZNF534_k4me3_FOXP1_KLF4_MED1_NANOG_44108_7up_wanghigh_GRO1of7_C_7up_phylo_-__chrX_94704179-94704626_-__1-447,,10,,,,,,,17,,19,2,3,4,,6,,8,9
chr4_92438954_92444654_3367_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SOX2_FOXA1_7up_wanghigh_chimeric_GRO1of7_C_7up_phylo_-__chr4_92444204-92444654_-__1-450,,10,,,,,,16,17,18,19,2,3,4,,6,7,8,9
chr13_56112411_56118259_3430_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_NANOG_44108_FOXA1_7up_wanghigh_C_7up_phylo_-__chr13_56117809-56118259_-__1-450,,10,,12,,,,,,18,19,2,,4,5,6,,,9
chr5_136551572_136552022_h3k27ac_EncodeRepressed_SOLO_KLF4_NANOG_7up_C_7up_phylo_-__chr5_136551572-136552022_-__1-450,,,,,,,,,,,19,2,,,,,,,
chr5_136565340_136571245_3256_ZNF534_ZNF90_KAP1_k27ac_EncodeTxn_FOXP1_KLF4_NANOG_44108_TCF4_7up_C_7up_phylo_-__chr5_136570797-136571245_-__1-447,1,10,11,12,,,15,,17,,19,2,,4,,6,,,
chr19_22568270_22575020_3308_ZNF534_EncodeTxn_KLF4_NANOG_TCF4_7up_7up_phylo____chr19_22568270-22568751____1-450,,10,11,,,,15,,,,19,2,,4,,6,,,
chr2_63847467_63847912_h3k27ac_TSS_SOLO_KLF4_MED1_NANOG_TCF4_7up_C_7up_phylo_-__chr2_63847467-63847912_-__1-445,,,,,,,15,,,,19,2,3,4,,,,,
chr1_81245283_81251207_3293_ZNF534_ZNF90_KAP1_k4me3_TSSflanking_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo____chr1_81245283-81245733____1-450,1,10,11,12,13,,15,16,17,,19,2,3,4,,6,,8,9
chrY_5324787_5330427_3166_1_k4me3_KLF4_NANOG_44108_TCF4_7up_wanghigh_C_7up_phylo_-__chrY_5329978-5330427_-__1-420,,,,,,,15,,,,19,2,,4,,6,,,9
chrX_92100240-92105917_3253_ZNF534_k4me3_weakenh_FOXP1_KLF4_MED1_NANOG_OCT4_FOXA1_7up_wanghigh_chimeric_GRO2of7__chrX_92105437-92105917_-__1-449,,10,,,,14,,,17,18,19,2,3,4,,6,7,,9
chr15_96871837_96877667_3509_ZNF534_k4me3_weakenh_FOXP1_KLF4_NANOG_44108_FOXA1_7up_wanghigh_C_7up_phylo_-__chr15_96877217-96877667_-__1-450,,10,,,,,,,17,18,19,2,,4,,6,,,9
chr3_54634484_54640204_3356_ZNF534_k4me3_enh_KLF4_MED1_NANOG_44108_SOX2_TCF4_7up_wanghigh_chimeric_C_7up_phylo_-__chr3_54639753-54640204_-__1-450,,10,,,,,15,16,,,19,2,3,4,5,6,7,,9
chr9_121790002_121796769_1834_ZNF534_KAP1_k4me3_EncodeRepressed_FOXP1_KLF4_NANOG_44108_7up_GRO3of7_7up_phylo____chr9_121790002-121790450____1-448,,10,,12,,,,,17,,19,2,,4,,6,,,
chr8_97200770_97206656_3642_ZNF534_ZNF90_KAP1_EncodeTxn_FOXP1_NANOG_44108_7up_GRO1of7_7up_phylo____chr8_97200770-97201220____1-450,1,10,11,12,,,,,17,,,2,,4,,6,,8,
chr5_147869836_147874526_2830_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_chimeric_GRO1of7_C_7up_-__chr5_147874078-147874526_-__1-448,,10,,,13,,15,16,17,,19,2,3,4,,6,7,8,9
chr11_6069822_6075884_3302_ZNF534_EncodeTxn_FOXP1_KLF4_NANOG_7up_C_7up_phylo_-__chr11_6075434-6075884_-__1-450,,10,,,,,,,17,,19,2,,4,,6,,,
chr1_99509511_99515367_3378_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_SOX2_TCF4_FOXA1_7up_7up_phylo____chr1_99509511-99509963____1-450,1,10,11,12,,,15,16,,18,19,2,,4,,6,,,
chr5_18668843_18674598_3428_ZNF534_k4me3_enh_KLF4_MED1_NANOG_44108_SMAD11_TCF4_FOXA1_7up_wanghigh_C_7up_phylo_-__chr5_18674153-18674598_-__1-445,,10,,,13,,15,,,18,19,2,3,4,5,6,,,9
chr6_94553919_94559610_3524_ZNF534_k4me3_weakenh_KLF4_NANOG_FOXA1_7up_wanghigh_GRO4of7_C_7up_phylo_-__chr6_94559161-94559610_-__1-449,,10,,,,,,,,18,19,2,,4,,6,,,9
chr6_131295357_131301196_3448_ZNF534_k4me3_weakenh_KLF4_MED1_NANOG_44108_TCF4_FOXA1_7up_GRO1of7_7up_phylo____chr6_131295357-131295806____1-449,,10,,,,,15,,,18,19,2,3,4,,6,,8,
chr14_50893162-50896882_3066_ZNF534_KAP1_k4me3_weakenh_KLF4_NANOG_7up_chimeric_GRO2of7__chr14_50893162-50893610____1-448,,10,,12,,,,,,,19,2,,4,,6,7,,
chr4_179166476-179170568_3066_ZNF534_k4me3_TSS_KLF4_NANOG_OCT4_7up_wanghigh_GRO2of7__chr4_179170120-179170568_-__1-448,,10,,,,14,,,,,19,2,,4,,6,,,9
chr4_156600196_156606034_3670_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_44108_7up_7up_phylo____chr4_156600196-156600646____1-450,1,10,11,12,,,,,,,19,2,,4,,6,,,
chr4_181949982_181950417_h3k27ac_enh_SOLO_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_7up_7up_phylo____chr4_181949982-181950417____1-435,,,,,13,,15,16,,,19,2,,4,5,,,,
chr11_66573597-66576956_4119_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_OCT4_7up_GRO2of7__chr11_66573597-66574046____1-449,1,10,11,12,,14,,,,,,2,,4,,6,,,
chr4_155108278_155114237_4974_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_7up_GRO4of7_C_7up_phylo_-__chr4_155113787-155114237_-__1-450,1,10,11,12,,,,,,,,2,,,,6,,,
chr15_101072487-101078293_4824_ZNF534_ZNF90_KAP1_k27ac_EncodeTxn_wanghigh_GRO2of7__chr15_101072487-101072924____1-437,1,10,11,12,,,,,,,,,,,,,,,9
chr6_10575556_10576054_h3k27ac_EncodeTxn_SOLO_KLF4_NANOG_7up_7up_phylo____chr6_10575556-10576054____1-449,,,,,,,,,,,19,2,,4,5,,,,
chr9_82883733_82889489_4706_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr9_82883733-82884183____1-449,,10,,,13,,15,16,17,18,19,2,,4,,,,8,9
chr13_96001094_96001549_enh_SOLO_KLF4_NANOG_7up_7up_phylo____chr13_96001094-96001549____1-449,,,,,,,,,,,19,2,,4,5,,,,
chr1_229696942_229697395_enh_SOLO_KLF4_NANOG_7up_7up_phylo____chr1_229696942-229697395____1-449,,,,,,,,,,,19,2,,4,5,,,,
chr4_16974834_16975319_h3k4me3_weakenh_SOLO_FOXP1_KLF4_NANOG_7up_7up_phylo____chr4_16974834-16975319____1-449,,,,,,,,,17,,19,2,,4,5,6,,,
chr9_90412695-90418349_3469_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_FOXA1_7up_GRO2of7__chr9_90412695-90413144____1-449,,10,,,,14,,,17,18,19,2,,4,,6,,,
chr14_98985205_98992939_4963_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_TCF4_7up_7up_phylo____chr14_98985205-98985684____1-448,,10,,12,,,15,,17,,19,2,,4,,6,,,
chr1_114037075_114037525_h3k27ac_enh_SOLO_FOXP1_KLF4_MED1_NANOG_44108_SMAD11_TCF4_7up_7up_phylo____chr1_114037075-114037525____1-450,,,,,13,,15,,17,,19,2,3,4,5,,,,
chr19_53831404_53837348_2169_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_7up_wanghigh_chimeric_GRO1of7_7up_phylo____chr19_53831404-53831854____1-450,,10,,,,,,,17,,19,2,,4,,6,7,8,9
chr1_216145601_216152688_4682_ZNF534_k4me3_weakenh_KLF4_NANOG_44108_7up_wanghigh_7up_phylo____chr1_216145601-216146051____1-450,,10,,,,,,,,,19,2,,4,5,6,,,9
chr2_209299313_209304932_3249_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr2_209299313-209299790____1-446,,10,,,,,15,16,17,18,19,2,,4,5,6,,8,9
chr6_131901550_131907417_3448_transcribed_ZNF534_k4me3_weakenh_KLF4_MED1_NANOG_44108_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo____chr6_131901550-131902003____1-450,,10,,,,,15,16,,,19,2,3,4,5,6,,8,9
chr9_115473181_115478918_3472_transcribed_ZNF534_k4me3_TSSflanking_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_7up_wanghigh_GRO1of7_7up_phylo____chr9_115473181-115473632____1-450,,10,,,13,,,16,17,,19,2,,4,,6,,8,9
chr4_23722873_23727866_3435_ZNF534_EncodeTxn_KLF4_NANOG_7up_wangmod_chimeric_GRO4of7_C_7up_phylo_-__chr4_23727420-23727866_-__1-446,,10,,,,,,,,,19,2,,4,,6,7,,
chr7_125909965-125915739_4678_ZNF534_KAP1_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_FOXA1_7up_GRO2of7__chr7_125909965-125910413____1-448,,10,,12,,14,,,17,18,19,2,,4,,6,,,
chr12_86938682-86944755_3450_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_7up_GRO2of7__chr12_86938682-86939132____1-450,,10,,,,14,,,17,,19,2,,4,,,,,
chr16_86742019_86747655_3249_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_SOX2_FOXA1_7up_wanghigh_C_7up_phylo_-__chr16_86747205-86747655_-__1-450,,10,,,,,,16,17,18,19,2,,4,,6,,,9
chr13_42868004_42873158_3482_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_44108_7up_wanghigh_GRO3of7_C_7up_phylo_-__chr13_42872706-42873158_-__1-442,,10,,,,,,,17,,19,2,,4,,6,,,9
chr1_5044796_5053098_5402_ZNF534_k27ac_EncodeTxn_FOXP1_KLF4_NANOG_7up_GRO3of7_7up_phylo____chr1_5044796-5045235____1-439,,10,,,,,,,17,,19,2,,4,,6,,,
chr4_145698823_145703503_3326_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_NANOG_44108_7up_wanghigh_GRO1of7_7up_phylo____chr4_145698823-145699272____1-448,,10,11,12,,,,,,,19,2,,4,,6,,8,9
chr6_93830156-93835749_3487_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_OCT4_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO2of7__chr6_93835299-93835749_-__1-450,,10,,,13,14,15,16,17,18,19,2,,4,,6,,,9
chr12_20762909_20769058_3164_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_7up_GRO1of7_7up_phylo____chr12_20762909-20763358____1-447,,10,,12,,,,,,,19,2,,4,,6,,8,
chr17_53455673_53456123_h3k27ac_enh_SOLO_KLF4_NANOG_7up_C_7up_phylo_-__chr17_53455673-53456123_-__1-450,,,,,,,,,,,19,2,,4,,,,,
chr2_76573625_76579704_3338_ZNF534_k4me3_KLF4_NANOG_44108_FOXA1_7up_C_7up_phylo_-__chr2_76579254-76579704_-__1-450,,10,,,,,,,,18,19,2,,4,,6,,,
chr11_130753498_130759137_3424_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_44108_7up_GRO4of7_C_7up_phylo_-__chr11_130758688-130759137_-__1-449,,10,,,,,,,,,19,2,,4,,6,,,
chr15_88547268_88562263_2789_ZNF534_ZNF90_KAP1_EncodeRepressed_KLF4_NANOG_FOXA1_7up_GRO4of7_C_7up_phylo_-__chr15_88561812-88562263_-__1-450,1,10,,12,,,,,,18,19,2,,4,,,,,
chr9_87410694_87416706_3585_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr9_87410694-87411146____1-450,,10,,,,,15,16,17,18,19,2,,4,,6,,8,9
chrX_87681680_87687644_3515_transcribed_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_MED1_NANOG_44108_7up_wanghigh_GRO1of7_7up_phylo____chrX_87681680-87682129____1-449,,10,,12,,,,,,,19,2,3,4,,6,,8,9
chr8_114241604_114247083_2577_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_FOXA1_7up_GRO3of7_7up_phylo____chr8_114241604-114242054____1-450,,10,,,,,,,,18,19,2,,4,,6,,,
chr8_132080238_132086002_3299_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_NANOG_44108_SOX2_TCF4_7up_wanghigh_C_7up_phylo_-__chr8_132085552-132086002_-__1-450,,10,,12,,,15,16,,,19,2,,4,,6,,,9
chr11_96180740_96181218_h3k27ac_enh_SOLO_KLF4_NANOG_SOX2_TCF4_7up_C_7up_phylo_-__chr11_96180740-96181218_-__1-447,,,,,,,15,16,,,19,2,,4,5,6,,,
chr12_14705421-14710640_3559_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_OCT4_SOX2_7up_wanghigh_GRO2of7__chr12_14710159-14710640_-__1-450,,10,,,,14,,16,17,,19,2,,4,,6,,,9
chr3_170681758_170689306_3291_ZNF534_KAP1_k27ac_weakenh_NANOG_44108_TCF4_C_7up_phylo_-__chr3_170688807-170689306_-__1-499,,10,,12,,,15,,,,,2,,4,5,,,,
chr4_168018594_168019042_EncodeRepressed_SOLO_NANOG_7up_C_7up_phylo_-__chr4_168018594-168019042_-__1-448,,,,,,,,,,,,2,,,,,,,
chr19_20087687_20096781_5611_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_7up_GRO1of7_C_7up_phylo_-__chr19_20096336-20096781_-__1-445,,10,,12,,,,,,,19,2,,4,5,6,,8,
chr17_40011683_40012131_EncodeTxn_SOLO_KLF4_NANOG_7up_C_7up_phylo_-__chr17_40011683-40012131_-__1-447,,,,,,,,,,,19,2,,4,,,,,
chr8_67719967_67720415_h3k27ac_enh_SOLO_FOXP1_KLF4_NANOG_44108_SMAD11_7up_C_7up_phylo_-__chr8_67719967-67720415_-__1-448,,,,,13,,,,17,,19,2,,4,5,,,,
